"CLAVE SITIO","CLAVE DE MONITOREO","NOMBRE DEL SITIO","FECHA REALIZACIÓN","Año","DQO_ESTADO","TIPO CUERPO DE AGUA","COLI_FEC","COLI_TOT","E_COLI","N_NH3","N_NO2","N_TOTK","TOX_D_48_UT","P_TOT","ORTO_PO4","COLOR_VER","ABS_UV","CONDUC_CAMPO","pH_CAMPO","OD_mgL","SAAM","SST","CD_TOT","CR_TOT","HG_TOT","NI_TOT","CN_TOT","DUR_TOT","TEMP_AMB","TEMP_AGUA","CAUDAL","COT_NOM","TOX_NOM","TIPO_LOTICO","y"
"DLPUE2041","DLPUE2041-100313","NEXAPA ENTRADA A PUCTLA",41340,2013,"INCUMPLE","LÓTICO",930,1200,930,0.187,0.032,0.187,0.5,2.208,1.769,70,0.155973263054334,1425,8.29,2,4.0381755651777,42,0.0006505,6e-04,0.00010065,0.00021,0.0045722629074872,294,29,22.7,865.1,0,0,1,1
"DLPUE2028","DLPUE2028-110916","RIO NEXAPA 8",42621,2016,"CUMPLE","LÓTICO",4600,11000,2400,0.287,0.364,0.675,0.5,0.673,0.539,50,0.071,913,7.8,5.61,0.15,102,0.0006505,0.00672,0.00010065,0.00992,5e-04,322,22.8,16.3,389,0,0,1,0
"DLPUE2058","DLPUE2058-030917","RIO ACATLAN",42998,2017,"CUMPLE","LÓTICO",24000,24000,24000,0.152,0.0025,0.291,0.5,0.035,0.032,40,0.164,793,8.3,3.76,0.111,113,0.0006505,0.00764,0.00010065,0.0047,5e-04,324,24.3,22.5,4066.16961855647,0,0,1,0
"DLPUE2044","DLPUE2044-211018","RIO NEXAPA 16",43390,2018,"CUMPLE","LÓTICO",24000,24000,24000,0.159,0.217,0.478,0.5,0.474,0.305,20,0.102,1353,7.9,5.46,0.005,77,0.0006505,0.02584,0.00010065,0.00993,5e-04,615.94,22.1,21,14434.2,0,0,1,0
"DLPUE2066","DLPUE2066-180819","DESPUES DE BACHOCO",43692,2019,"INCUMPLE","LÓTICO",2419600,2419600,2419600,147.5746,0.023452,197.70499,3.95,23.03062,17.1952,500,2.274,3104,7.9,1.98,12.553,155.48,0.0006505,0.1201,0.00010065,0.0068,0.0127,372.165,19,22.1,8.9,1,1,1,1
"DLPUE2063M1","DLPUE2063M1-050616","ARROYO PRIETO",42524,2016,"INCUMPLE","LÓTICO",4600,11000,2400,3.496,0.0025,4.079,0.5,4.61,4.421,200,0.412,892,7.6,0.5,7.6,35.19,0.0006505,0.0459,0.00010065,0.0309,5e-04,226,18.4,17.1,19.9,1,1,1,1
"DLPUE2026","DLPUE2026-080516","NEXAPA LOS MOLINOS P1 (31)",42495,2016,"INCUMPLE","LÓTICO",15,750,15,3.066,0.088,3.762,0.5,0.693,0.629,20,0.108,466,7.6,1.96,0.42,5,0.0006505,6e-04,0.00010065,0.0079,5e-04,196,19.8,18.6,1.2,0,0,1,1
"DLPUE2036","DLPUE2036-040617","NEXAPA-LAS FAJANAS P1 (33)",42888,2017,"INCUMPLE","LÓTICO",24000,24000,11000,3.175,0.731,6.233,0.5,0.717,0.469,50,0.179,601,7.5,3.53,0.005,342.55,0.0006505,0.03165,0.00010065,0.10213,5e-04,200,27.8,20.6,3264.05354126706,0,0,1,1
"DLPUE2034","DLPUE2034-040813","RIO NEXAPA 15",41488,2013,"INCUMPLE","LÓTICO",460,1100,240,0.155,1.15,6.035,0.5,0.514,1.4,30,0.126,1240,8.08,4,1.24976037069682,266,0.0006505,0.018,0.00010065,0.01,0.0007595242489899,340,26.8,24,3815.1,0,0,1,1
"DLPUE2046","DLPUE2046-140118","NEXAPA PUENTE DON ROQUE",43113,2018,"INCUMPLE","LÓTICO",24000,24000,24000,0.031,0.465,0.063,0.5,0.211,0.077,10,0.053,1199,8.2,2.15,0.005,48,0.0006505,0.02154,0.00010065,0.00555,5e-04,1110,27.1,20.8,2821.8,0,0,1,1
"DLTLA2546","DLTLA2546-080315","TLAPALAC ANTES DE CONFLUENCIA CON RIO ATOYAC",42065,2015,"INCUMPLE","LÓTICO",24000,24000,11000,40.636,0.055,84.492,3.62,3.836,3.537,150,0.559,1755,7.5,0.5,20.6,240,0.0006505,0.0089,0.0015,0.0075,5e-04,434,23.5,20.7,61,1,1,1,1
"DLPUE2084","DLPUE2084-140118","RIO ATOYAC (DESPUES DE LA CONFLUENCIA DEL RIO MIXTECO)",43109,2018,"CUMPLE","LÓTICO",24000,24000,11000,0.053,0.0025,0.0829999999999999,0.5,0.043,0.037,10,0.069,837,8.5,4.32,0.005,22,0.0006505,0.03979,0.00010065,0.06836,5e-04,398,24.4,21.4,17802,0,0,1,0
"DLPUE2022M1","DLPUE2022M1-011017","BARRANCA HONDA",43005,2017,"INCUMPLE","LÓTICO",24000,24000,24000,11.07,0.0025,11.159,0.5,4.869,4.23,150,0.396,809.950780982906,7.4,0.5,9.11,64,0.0006505,6e-04,0.00010065,0.00558,0.012,320,23.8,20.2,158.4,0,1,1,1
"DLPUE2042","DLPUE2042-250218","PUCTLA",43152,2018,"INCUMPLE","LÓTICO",24000,24000,24000,4.983,2.528,9.87,0.5,1.937,1.471,30,0.088,1211,8.1,1.44,1.792,56,0.0006505,0.02335,0.00010065,0.01193,5e-04,478,26.7,21.4,2860.3,0,0,1,1
"DLPUE2047","DLPUE2047-230214","RIO NEXAPA 19",41688,2014,"INCUMPLE","LÓTICO",24000,24000,24000,0.142,0.033,0.702,0.5,0.284,0.126,20,0.159,2025,8.33,4.31,0.125,32,0.0006505,6e-04,0.00010065,0.0078,5e-04,452,33.8,24.2,1954,0,0,1,1
"DLPUE2084","DLPUE2084-251015","RIO ATOYAC (DESPUES DE LA CONFLUENCIA DEL RIO MIXTECO)",42304,2015,"CUMPLE","LÓTICO",24000,24000,11000,0.034,0.0025,0.886,0.5,0.427,0.211,150,0.063,600.1,8.3,6.75,0.2,330,0.0006505,0.0087,0.00010065,0.0093,5e-04,392,31.6,25.4,39730,0,0,1,0
"DLPUE1976","DLPUE1976-040813","PUEBLA SAN FRANCISCO  (A) AGUAS ARRIBA",41484,2013,"INCUMPLE","LÓTICO",2400,2400,2400,0.108,0.0025,9.236,0.5,1.9,0.853,100,0.38,758,7.33,2.1,1.47542154130227,770,0.0006505,0.045,0.00010065,0.025,0.0011765970519494,340,23.9,18.6,12012.3,0,0,1,1
"DLPUE2003","DLPUE2003-200915","RIO NECAXA 5",42265,2015,"CUMPLE","LÓTICO",24000,24000,11000,0.047,0.0025,0.856,0.5,0.088,0.058,40,0.074,214,7.7,3.75,0.005,50,0.0006505,0.0053,0.0018,0.0047,5e-04,122,32.7,24.9,12425.0786318344,0,0,1,0
"DLPUE1975M1","DLPUE1975M1-150418","ARROYO ZAPATERO",43206,2018,"INCUMPLE","LÓTICO",24000,24000,24000,49.308,0.0025,51.272,1.28,6.529,5.171,200,0.351,1410,8.2,0.5,1.656,80,0.0006505,0.01876,0.00010065,0.00822,5e-04,464,25.2,18.9,36.3,0,1,1,1
"DLPUE2035","DLPUE2035-040617","RIO NEXAPA 14",42888,2017,"INCUMPLE","LÓTICO",24000,24000,24000,4.745,0.368,5.894,0.5,0.82,0.502,40,0.085,639,7.4,3.14,0.06,512.82,0.0006505,0.02093,0.00010065,0.02341,5e-04,260,17.2,18.2,4281.99039283689,0,0,1,1
"DLPUE1976","DLPUE1976-061013","PUEBLA SAN FRANCISCO  (A) AGUAS ARRIBA",41552,2013,"INCUMPLE","LÓTICO",280,390,230,0.907,0.0025,1.635,0.5,3.683,2.766,100,0.174,855,7.8,1.8,1.601,106.67,0.0006505,0.013,0.00010065,0.005,5e-04,410,24.4,18.5,12277.7,0,0,1,1
"DLPUE2009","DLPUE2009-150614","AGUA FRIA",41803,2014,"INCUMPLE","LÓTICO",1500,4600,110,0.048,0.009,0.048,0.5,0.029,0.00075,10,0.039,270,7.9,8.9,0.066,5,0.0006505,6e-04,0.00010065,0.00021,5e-04,141,32.5,29.7,1853,0,0,1,1
